
author_number_beds,author_number_icu_beds,author_number_ventilators,city_id,city_name,country_iso,country_name,data_last_refreshed,female,female-0-19,female-20-29,female-30-39,female-40-49,female-50-59,female-60-69,female-70-79,female-80>,health_region_id,health_region_name,last_updated_number_beds,last_updated_number_covid_icu_beds,last_updated_number_icu_beds,last_updated_number_ventilators,male,male-0-19,male-20-29,male-30-39,male-40-49,male-50-59,male-60-69,male-70-79,male-80>,number_beds,number_covid_icu_beds,number_icu_beds,number_ventilators,population,state_id,state_name,state_num_id
DataSUS,DataSUS,DataSUS,1200013,Acrelândia,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,12002,Baixo Acre e Purus,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,8,0,0,0,15256,AC,Acre,12
DataSUS,DataSUS,DataSUS,1200054,Assis Brasil,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,12001,Alto Acre,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,7,0,0,0,7417,AC,Acre,12
DataSUS,DataSUS,DataSUS,1200104,Brasiléia,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,12001,Alto Acre,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,16,14,0,0,26278,AC,Acre,12
DataSUS,DataSUS,DataSUS,1200138,Bujari,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,12002,Baixo Acre e Purus,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,10266,AC,Acre,12
DataSUS,DataSUS,DataSUS,1200179,Capixaba,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,12002,Baixo Acre e Purus,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,11733,AC,Acre,12
DataSUS,DataSUS,DataSUS,1200203,Cruzeiro do Sul,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,12003,Juruá e Tarauacá/Envira,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,130,10,7,31,88376,AC,Acre,12
DataSUS,DataSUS,DataSUS,1200252,Epitaciolândia,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,12001,Alto Acre,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,1,18411,AC,Acre,12
DataSUS,DataSUS,DataSUS,1200302,Feijó,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,12003,Juruá e Tarauacá/Envira,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,22,0,0,0,34780,AC,Acre,12
DataSUS,DataSUS,DataSUS,1200328,Jordão,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,12002,Baixo Acre e Purus,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,7,0,0,0,8317,AC,Acre,12
DataSUS,DataSUS,DataSUS,1200336,Mâncio Lima,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,12003,Juruá e Tarauacá/Envira,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,11,0,0,0,18977,AC,Acre,12
DataSUS,DataSUS,DataSUS,1200344,Manoel Urbano,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,12002,Baixo Acre e Purus,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,16,0,0,0,9459,AC,Acre,12
DataSUS,DataSUS,DataSUS,1200351,Marechal Thaumaturgo,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,12003,Juruá e Tarauacá/Envira,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,8,0,0,0,18867,AC,Acre,12
DataSUS,DataSUS,DataSUS,1200385,Plácido de Castro,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,12002,Baixo Acre e Purus,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,29,0,0,1,19761,AC,Acre,12
DataSUS,DataSUS,DataSUS,1200393,Porto Walter,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,12003,Juruá e Tarauacá/Envira,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,8,0,0,0,11982,AC,Acre,12
DataSUS,DataSUS,DataSUS,1200401,Rio Branco,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,12002,Baixo Acre e Purus,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,627,40,51,149,407319,AC,Acre,12
DataSUS,DataSUS,DataSUS,1200427,Rodrigues Alves,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,12003,Juruá e Tarauacá/Envira,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,8,0,0,1,18930,AC,Acre,12
DataSUS,DataSUS,DataSUS,1200435,Santa Rosa do Purus,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,12002,Baixo Acre e Purus,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,10,0,0,0,6540,AC,Acre,12
DataSUS,DataSUS,DataSUS,1200450,Senador Guiomard,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,12002,Baixo Acre e Purus,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,21,0,0,0,23024,AC,Acre,12
DataSUS,DataSUS,DataSUS,1200500,Sena Madureira,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,12002,Baixo Acre e Purus,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,34,0,0,1,45848,AC,Acre,12
DataSUS,DataSUS,DataSUS,1200609,Tarauacá,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,12003,Juruá e Tarauacá/Envira,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,20,0,0,2,42567,AC,Acre,12
DataSUS,DataSUS,DataSUS,1200708,Xapuri,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,12001,Alto Acre,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,19,0,0,2,19323,AC,Acre,12
DataSUS,DataSUS,DataSUS,1200807,Porto Acre,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,12002,Baixo Acre e Purus,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,18504,AC,Acre,12
DataSUS,DataSUS,DataSUS,2700102,Água Branca,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27010,10ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,13,0,0,0,20196,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2700201,Anadia,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27005,5ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,10,0,0,0,17545,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2700300,Arapiraca,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27007,7ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,711,37,66,100,231747,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2700409,Atalaia,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27004,4ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,25,0,0,0,47185,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2700508,Barra de Santo Antônio,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27001,1ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,15932,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2700607,Barra de São Miguel,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27001,1ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,8322,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2700706,Batalha,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27007,7ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,22,0,0,1,18232,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2700805,Belém,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27008,8ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,4344,AL,Alagoas,27
