Município1,Código Município IBGE,UF1,Dia,Data,Média de Índice De Isolamento(%)
SÃO JOSÉ DOS CAMPOS,3549904,SP,sexta-feira,8/28/2020,42
SÃO JOSÉ DOS CAMPOS,3549904,SP,quinta-feira,8/27/2020,43
SÃO JOSÉ DOS CAMPOS,3549904,SP,quarta-feira,8/26/2020,43
SÃO JOSÉ DOS CAMPOS,3549904,SP,terça-feira,8/25/2020,45
SÃO JOSÉ DOS CAMPOS,3549904,SP,segunda-feira,8/24/2020,44
SÃO JOSÉ DOS CAMPOS,3549904,SP,domingo,8/23/2020,52
SÃO JOSÉ DOS CAMPOS,3549904,SP,sábado,8/22/2020,48
SÃO JOSÉ DOS CAMPOS,3549904,SP,sexta-feira,8/21/2020,45
SÃO JOSÉ DOS CAMPOS,3549904,SP,quinta-feira,8/20/2020,45
SÃO JOSÉ DOS CAMPOS,3549904,SP,quarta-feira,8/19/2020,45
SÃO JOSÉ DOS CAMPOS,3549904,SP,terça-feira,8/18/2020,46
SÃO JOSÉ DOS CAMPOS,3549904,SP,segunda-feira,8/17/2020,46
SÃO JOSÉ DOS CAMPOS,3549904,SP,domingo,8/16/2020,55
SÃO JOSÉ DOS CAMPOS,3549904,SP,sábado,8/15/2020,47
SÃO JOSÉ DOS CAMPOS,3549904,SP,sexta-feira,8/14/2020,44
SÃO JOSÉ DOS CAMPOS,3549904,SP,quinta-feira,8/13/2020,44
SÃO JOSÉ DOS CAMPOS,3549904,SP,quarta-feira,8/12/2020,43
SÃO JOSÉ DOS CAMPOS,3549904,SP,terça-feira,8/11/2020,44
SÃO JOSÉ DOS CAMPOS,3549904,SP,segunda-feira,8/10/2020,45
SÃO JOSÉ DOS CAMPOS,3549904,SP,domingo,8/9/2020,50
SÃO JOSÉ DOS CAMPOS,3549904,SP,sábado,8/8/2020,46
SÃO JOSÉ DOS CAMPOS,3549904,SP,sexta-feira,8/7/2020,43
SÃO JOSÉ DOS CAMPOS,3549904,SP,quinta-feira,8/6/2020,44
SÃO JOSÉ DOS CAMPOS,3549904,SP,quarta-feira,8/5/2020,44
SÃO JOSÉ DOS CAMPOS,3549904,SP,terça-feira,8/4/2020,45
SÃO JOSÉ DOS CAMPOS,3549904,SP,segunda-feira,8/3/2020,44
SÃO JOSÉ DOS CAMPOS,3549904,SP,domingo,8/2/2020,53
SÃO JOSÉ DOS CAMPOS,3549904,SP,sábado,8/1/2020,47
SÃO JOSÉ DOS CAMPOS,3549904,SP,sexta-feira,7/31/2020,44
SÃO JOSÉ DOS CAMPOS,3549904,SP,quinta-feira,7/30/2020,45
SÃO JOSÉ DOS CAMPOS,3549904,SP,quarta-feira,7/29/2020,45
SÃO JOSÉ DOS CAMPOS,3549904,SP,terça-feira,7/28/2020,44
SÃO JOSÉ DOS CAMPOS,3549904,SP,segunda-feira,7/27/2020,50
SÃO JOSÉ DOS CAMPOS,3549904,SP,domingo,7/26/2020,53
SÃO JOSÉ DOS CAMPOS,3549904,SP,sábado,7/25/2020,47
SÃO JOSÉ DOS CAMPOS,3549904,SP,sexta-feira,7/24/2020,43
SÃO JOSÉ DOS CAMPOS,3549904,SP,quinta-feira,7/23/2020,44
SÃO JOSÉ DOS CAMPOS,3549904,SP,quarta-feira,7/22/2020,44
SÃO JOSÉ DOS CAMPOS,3549904,SP,terça-feira,7/21/2020,45
SÃO JOSÉ DOS CAMPOS,3549904,SP,segunda-feira,7/20/2020,45
SÃO JOSÉ DOS CAMPOS,3549904,SP,domingo,7/19/2020,52
SÃO JOSÉ DOS CAMPOS,3549904,SP,sábado,7/18/2020,48
SÃO JOSÉ DOS CAMPOS,3549904,SP,sexta-feira,7/17/2020,45
SÃO JOSÉ DOS CAMPOS,3549904,SP,quinta-feira,7/16/2020,46
SÃO JOSÉ DOS CAMPOS,3549904,SP,quarta-feira,7/15/2020,46
SÃO JOSÉ DOS CAMPOS,3549904,SP,terça-feira,7/14/2020,46
